main | Главная | Crossceed Finance
result | Итог | Итог
sell | Продажа | Продажа
buy | Покупка | Покупка
server_time | Серверное время | Серверное время
last_operation | Последние операции | Последние операции
loading_start | Начало загрузки | Начало загрузки
structure | Структура  | Структура
autorobot | Авторобот  | Авторобот
merchant | Мерчант  | Мерчант
global_merchant | мерчант для глобальных платежей  | мерчант для глобальных платежей
cancel | ОТМЕНИТЬ | ОТМЕНИТЬ
autotrade_block | Заблокировано на время автотрейда. | Заблокировано на время автотрейда.
request_rejected | Заявка отклонена | Заявка отклонена
local_time | Местное время | Местное время
link | ссылка | ссылка
referal_program | Реферальная программа | Реферальная программа
top_bid | Top bid | Top bid
lowest_ask | Lowest ask | Lowest ask
agent_list | Agent List | Agent List
deposit | Deposit | Пополнить
withdrawal | Withdrawal | Вывести
balance_refill | Баланс пополнен на | Баланс пополнен на
select_tradee | Выберите Биржу | Выберите Биржу
trade_active | У вас есть активные торговые операции | У вас есть активные торговые операции
vacancy_text | Мы ищем замечательных и умных людей, чтобы присоединиться к нашей растущей команде. Мы уже работаем в качественном партнерстве и необходимость в новых кадрах есть по всему миру. Поэтому, наша сеть агентов на криптовалютных рынках и менеджеров по операциям будет расти по мере расширения нашей деятельности. Будем рады видеть вас в команде! | Мы ищем замечательных и умных людей, чтобы присоединиться к нашей растущей команде. Мы уже работаем в качественном партнерстве и необходимость в новых кадрах есть по всему миру. Поэтому, наша сеть агентов на криптовалютных рынках и менеджеров по операциям будет расти по мере расширения нашей деятельности. Будем рады видеть вас в команде!
commission_agent | Комиссия агента | Комиссия агента
operation_qty | Количество сделок | Количество сделок
operation_qty_left | Осталось сделок | Осталось сделок
min_autotrade_2 | Не верное количество операций | Не верное количество операций
isset_balance_exchange | Доступный баланс для обмена | Доступный обменный баланс
exchange_not_enouth_money | Недостаточно средств на обменном балансе | Недостаточно средств на обменном балансе
exchange_mist | Ошибка определения текущего обменного курса. Попробуйте сделать поппытку немного позже. | Ошибка определения текущего обменного курса. Попробуйте сделать поппытку немного позже.
enter_amount_for_trade | Вы не ввели сумму | Вы не ввели сумму
min_amount_for_trade | Введите сумму больше минимальной | Введите сумму больше минимальной
history_payment_o1 | Операция обмена криптовалют | Операция обмена криптовалют
history_payment_o2 | Пополнение депозита | Пополнение депозита
history_payment_o4 | Вывод с депозита | Вывод с депозита
history_payment_o5 | Операция трэйда | Операция трэйда
history_payment_o8 | Ошибка по операции трейда, возврат средств. | Ошибка по операции трейда, возврат средств.
history_payment_o10 | Списание по автороботу. | Списание по автороботу.
history_payment_o7 | Пополнение после работы авторобота. | Пополнение после работы авторобота.
history_payment_o22 | Возврат средст после остановки авторобота. | Возврат средст после остановки авторобота.
history_payment_o11 | Реферальное вознаграждение. | Реферальное вознаграждение.
history_payment_o15 | Поступление после операции. | Поступление после операции.
history_payment_o23 | Возврат срдест при сбое работы авторобота. | Возврат срдест при сбое работы авторобота.
how_work_on_platform | Как работать на платформе | Как работать на платформе
cookie_agreement | Мы используем файлы cookies. <span>Нажмите здесь</span>, чтобы подтвердить свое согласие на использование cookies. | Мы используем файлы cookies. <span>Нажмите здесь</span>, чтобы подтвердить свое согласие на использование cookies.
cookie_agreement_2 | Ознакомьтесь с нашей политикой конфиденциальности. | Ознакомьтесь с нашей политикой конфиденциальности.
agree | Согласен | Согласен
balance_send | Отправьте | Отправьте
balance_to_this_address | на этот адрес | на этот адрес
balance_will_update_automatically | Баланс будет обновлен автоматически | Баланс будет обновлен автоматически
history_payment_o24 | Ожидание поступления на депозит | Ожидание поступления на депозит
expect_intro_money | Ожидание поступления | Ожидание поступления
summ_added_to_balance | Баланс успешно пополнен! | Баланс успешно пополнен!
question_created | Вопрос отправлен | Вопрос отправлен
question_receive | Ваш запрос получен и зарегистрирован под номером | Ваш запрос получен и зарегистрирован под номером
question_we_will_answer | Мы ответим Вам в ближайшее время. | Мы ответим Вам в ближайшее время.
question_question | Вопрос | Вопрос
question_support_ans | Ответ по запросу | Ответ по запросу
question_support_ans_2 | Наш ответ по Вашему запросу | Наш ответ по Вашему запросу
question_support_your_question_from | Ваш вопрос от | Ваш вопрос от
else_agent | Ещё агенты | Ещё агенты
pending_sucs | подтверждение | подтверждение
request_confirmed_link | Ссылка подтверждения. | Ссылка подтверждения операции.
limit_payout_at_day | Вы уже достигли лимита по количеству выводов в день | Вы уже достигли лимита по количеству выводов в день
limit_col_days | Выводить средства можно не раньше чем через {x} дней после пополнения! | Выводить средства можно не раньше чем через {x} дней после пополнения!
text_develop_app | Приложение находится в разработке. Планируемая дата выхода: 15.10.2020 г. | Приложение находится в разработке. Планируемая дата выхода: 15.10.2020 г.
history_payment_o30 | Ожидание завершения трэйда | Ожидание завершения трэйда
history_payment_o31 | Ожидание завершения трэйда | Ожидание завершения трэйда
new_password | Новый пароль | Новый пароль
restore | Восстановить | Восстановить
restore_password | Восстановить пароль | Восстановить пароль
restore_pswd | Восстановить пароль | Восстановить пароль
remember_the_password | Вспомнили пароль? | Вспомнили пароль?
wrong_email | Такой email не существует | Такой email не существует
change_pswd_ok | Ваш пароль изменён | Ваш пароль изменён
restore_code | Вы запросили восстановления пароля на платформе crossceed.com. Введите код подтверждения восстановления<br/><br/>Код восстановления пароля регистрации: | Вы запросили восстановления пароля на платформе crossceed.com. Введите код подтверждения восстановления.<br/><br/>Код восстановления пароля регистрации:
about_menu | О нас | О нас
partners | Партнёрам | Партнёрам
VIP | VIP | VIP
VIP_modal_title | Выгодные VIP партнерские программы | Выгодные VIP партнерские программы
VIP_modal_content | Особые VIP клиенты по вашей партнёрской ссылке обсуждаются лично с вами. | Особые VIP клиенты по вашей партнёрской ссылке обсуждаются лично с вами.
copy_right | Спасибо за то что вы с нами. Crossceed Finance Inc. Все права защищены. | Спасибо за то что вы с нами. Crossceed Finance Inc. Все права защищены.
suppot_mail | Если у вас возникли, какие-то вопросы по работе сайта, тогда обратитесь в нашу техническую поддержку | Если у вас возникли, какие-то вопросы по работе сайта, тогда обратитесь в нашу техническую поддержку
ip_mail | IP адрес | IP адрес
vip_page_msg1 | VIP - клиентам | VIP - клиентам
vip_page_msg2 | VIP аккаунт - это кабинет где клиенту предоставляется увеличенное количество ордеров до 7 в день и более короткие промежутки между сделками , а так же увеличенный доход от сделки. | VIP аккаунт - это кабинет где клиенту предоставляется увеличенное количество ордеров до 7 в день и более короткие промежутки между сделками , а так же увеличенный доход от сделки.
vip_page_msg3 | Условия получения VIP аккаунта: | Условия получения VIP аккаунта:
vip_page_msg4 | 1. Верификация пользoвателя | 1. Верификация пользoвателя
vip_page_msg5 | 2. Минимальный остаток на счёте для совершения сделок до 7 в сутки составляет 3 BTC или 85 ETH  на других криптовалютах это эквивалент $30 000 | 2. Минимальный остаток на счёте для совершения сделок до 7 в сутки составляет 3 BTC или 85 ETH  на других криптовалютах это эквивалент $30 000
vip_page_msg6 | У VIP клиентов не может быть партнёров | У VIP клиентов не может быть партнёров
vip_page_msg7 | 4. При необходимости необходимо отправить дополнительный документ для верификации и исключения поддельных данных | 4. При необходимости необходимо отправить дополнительный документ для верификации и исключения поддельных данных
vip_page_msg8 | Отправляя запрос Вы соглашаетесь с выше перечисленными условиями и Пользовательским соглашением. | Отправляя запрос Вы соглашаетесь с выше перечисленными условиями и Пользовательским соглашением.
demo_account | Demo account | Демо аккаунт
view_more_markets | Посмотреть больше | Посмотреть больше
how-to-buy-cryptocurrency | Как купить криптовалюту | Как купить криптовалюту
cryptocurrency-wallets | Криптовалютные кошельки| Криптовалютные кошельки
beginners-guide | Руководство для начинающих | Руководство для начинающих
learn-more-about-the-crossceed-service | Узнать больше о платформе Crossceed | Узнать больше о платформе Crossceed
address_email | Адрес электронной почты | Адрес электронной почты
link_not_valid | Ссылка недействительна | Ссылка недействительна
account_verified | Ваш аккаунт успешно подтвержден | Ваш аккаунт успешно подтвержден
start_trading | Начать торговлю | Начать торговлю


reg_not_verif | Ваш аккаунт зарегистрирован, но не подтвержден | Ваш аккаунт зарегистрирован, но не подтвержден
link_confirm | На ваш адрес электронной почты было отправлено письмо со ссылкой для подтверждения вашей учетной записи | На ваш адрес электронной почты было отправлено письмо со ссылкой для подтверждения вашей учетной записи
warn_spam | Внимание! Если письмо не пришло, проверьте папку со СПАМом | Внимание! Если письмо не пришло, проверьте папку со СПАМом
enter_code | Введите код, отправленный по электронной почте | Введите код, отправленный по электронной почте
please_confrirm | Пожалуйста, подтвердите свою учетную запись по следующей ссылке | Пожалуйста, подтвердите свою учетную запись по следующей ссылке
read_more | Читать полностью | Читать полностью
group_about | О нас | О нас
group_terms | Соглашения | Соглашения
group_security | Безопасность | Безопасность
group_help | Помощь | Помощь
manual_payout_wait | Ваша заявка на выплату отправлена на ручную модерацию. В случае успешной выплаты, в истории баланса появится запись о выводе средств. | Ваша заявка на выплату отправлена на ручную модерацию. В случае успешной выплаты, в истории баланса появится запись о выводе средств.
email_code_2 | Для подтверждения введите код из письма | Для подтверждения введите код из письма
wrong_subject | Неправильно введен предмет сообщения | Неправильно введен предмет сообщения
wrong_text | Неправильно введен текст сообщения | Неправильно введен текст сообщения
success_support_send | Сообщение отправлено | Сообщение отправлено
tecket_closed | Тикет успешно закрыт | Тикет успешно закрыт
ticket_comment_added | Комментарий добавлен | Комментарий добавлен
landing_page_title | Покупайте и продавайте криптовалюту | Покупайте и продавайте криптовалюту
landing_page_title_highlighted | выгодно и безопасно | выгодно и безопасно
landing_page_text | Многопрофильная криптовалютная площадка с ручным и автоматическим функционалом работы одновременно на нескольких криптовалютных биржах в режиме реального времени. Умная система мониторинга предотвращает куплю/продажу в убыток. | Многопрофильная криптовалютная площадка с ручным и автоматическим функционалом работы одновременно на нескольких криптовалютных биржах в режиме реального времени. Умная система мониторинга предотвращает куплю/продажу в убыток.
guide_info_beginners | Руководство для начинающих | Руководство для начинающих
guide_more_about_crossceed | Узнать больше о платформе Crossceed | Узнать больше о платформе Crossceed
guide_how_work | Как работать на платформе | Как работать на платформе
guide_how_buy | Как купить криптовалюту | Как купить криптовалюту
guide_crypto_wallet | Криптовалютные кошельки | Криптовалютные кошельки
advantages | Наши преимущества | Наши преимущества
advantages_support | Поддержка 24/7 | Поддержка 24/7
advantages_support_text | Если у вас возникли, какие-то вопросы или просто проблемы, тогда обратитесь в нашу техническую поддержку. Наши грамотные специалисты в сфере IT готовы оказать вам помощь  24 часа в сутки и 7 дней в неделю. Вы всегда получите любую консультацию на интересующий вас вопрос быстро, а самое главное качественно. | Если у вас возникли, какие-то вопросы или просто проблемы, тогда обратитесь в нашу техническую поддержку. Наши грамотные специалисты в сфере IT готовы оказать вам помощь  24 часа в сутки и 7 дней в неделю. Вы всегда получите любую консультацию на интересующий вас вопрос быстро, а самое главное качественно.
advantages_autorobot | Авторобот | Авторобот
advantages_autorobot_text | С каждым днем наш охват становится больше, мы приходим на новые биржи, сотрудничаем с новыми странами. Создаем целую сеть агентов, которые позволяют вам зарабатывать арбитражем. В наши планы на ближайшее время входит открытие офисов, а также проведение бесплатных, ознакомительных семинаров. | С каждым днем наш охват становится больше, мы приходим на новые биржи, сотрудничаем с новыми странами. Создаем целую сеть агентов, которые позволяют вам зарабатывать арбитражем. В наши планы на ближайшее время входит открытие офисов, а также проведение бесплатных, ознакомительных семинаров.
advantages_comunity | Комьюнити | Комьюнити
advantages_comunity_text | С каждым днем наш охват становится больше, мы приходим на новые биржи, сотрудничаем с новыми странами. Создаем целую сеть агентов, которые позволяют вам зарабатывать арбитражем. В наши планы на ближайшее время входит открытие офисов, а также проведение бесплатных, ознакомительных семинаров. | С каждым днем наш охват становится больше, мы приходим на новые биржи, сотрудничаем с новыми странами. Создаем целую сеть агентов, которые позволяют вам зарабатывать арбитражем. В наши планы на ближайшее время входит открытие офисов, а также проведение бесплатных, ознакомительных семинаров.
advantages_mobile | Мобильное приложение | Мобильное приложение
advantages_mobile_text | Наша компания думает и заботится о своих клиентах. Поэтому мы создали мобильное приложение для Android и Apple. Это приложение позволит вам контролировать свой доход, а так же успешно управлять им, где бы вы не находились. Также одной из главных функций это безопасность, вас не смогут обмануть, если вы пользуетесь именно нашим приложением | Наша компания думает и заботится о своих клиентах. Поэтому мы создали мобильное приложение для Android и Apple. Это приложение позволит вам контролировать свой доход, а так же успешно управлять им, где бы вы не находились. Также одной из главных функций это безопасность, вас не смогут обмануть, если вы пользуетесь именно нашим приложением
advantages_structure | Структура | Структура
advantages_structure_text | Наша компания состоит из сети агентов, операторов автоматической торговли, PR – менеджеров, менеджеров по работе с финансами, юридический отдел, технической поддержки, программистов и администраторов сервера. Компания постоянно набирает к себе агентов. Функции агентов одна из ключевых на нашей платформе. Если вы хотите сотрудничать, тогда оставьте свое портфолио | Наша компания состоит из сети агентов, операторов автоматической торговли, PR – менеджеров, менеджеров по работе с финансами, юридический отдел, технической поддержки, программистов и администраторов сервера. Компания постоянно набирает к себе агентов. Функции агентов одна из ключевых на нашей платформе. Если вы хотите сотрудничать, тогда оставьте свое портфолио
roadmap_2_2022 | 2 квартал 2022 | 2 квартал 2022
roadmap_3_2022 | 3 квартал 2022 | 3 квартал 2022
roadmap_4_2022 | 4 квартал 2022 | 4 квартал 2022
roadmap_1_2023 | 1 квартал 2023 года | 1 квартал 2023 года
roadmap_2_2023 | 2 квартал 2023 года | 2 квартал 2023 года
roadmap_2_2025 | 2 квартал 2025 года | 2 квартал 2025 года
roadmap_3_2026 | 3 квартал 2026 года | 3 квартал 2026 года
roadmap_2_2022_item_1 | Смена маркет хода, с переоформлением экосистемы и проработки дальнейших планов | Смена маркет хода, с переоформлением экосистемы и проработки дальнейших планов
roadmap_2_2022_item_2 | Подключение рекламной деятельности с подготовкой на приссейл Токена | Подключение рекламной деятельности с подготовкой на приссейл Токена
roadmap_2_2022_item_3 | Поиск партнёров и коллаборации с выходом на физический рынок | Поиск партнёров и коллаборации с выходом на физический рынок
roadmap_2_2022_item_4 | Объединение проектов в экономическом сигменте | Объединение проектов в экономическом сигменте
roadmap_3_2022_item_1 | Усиление прогресса проработки проекта в программной части | Усиление прогресса проработки проекта в программной части
roadmap_3_2022_item_2 | Открытие вакансий | Открытие вакансий
roadmap_3_2022_item_3 | Анонсирование партнёров | Анонсирование партнёров
roadmap_3_2022_item_4 | Презентация приссейла Токена | Презентация приссейла Токена
roadmap_3_2022_item_5 | Начало разработки Маркетплейса | Начало разработки Маркетплейса
roadmap_4_2022_item_1 | Презентация маркетплейса | Презентация маркетплейса
